order_id,name,email,address,payment_status,product_delivered,product,product_type,payment_method,price_paid,cash_back,billing_date,transaction_id,refund_time,refund_transaction_id
1001,John Doe,john.doe@example.com,123 Main St.,success,true,Smartphone,Electronics,Credit Card,699.99,50.00,2023-04-15,TXN12345,3-4 days,TXNR12345
1002,Jane Smith,jane.smith@example.com,456 Oak Rd.,failed,false,Laptop,Electronics,PayPal,999.99,0.00,2023-03-20,TXN12346,,
1003,Bob Johnson,bob.johnson@example.com,789 Pine Ave.,success,true,T-Shirt,Apparel,Bank Transfer,29.99,10.00,2023-05-01,TXN12347,,
1004,Sarah Lee,sarah.lee@example.com,321 Elm St.,success,true,Headphones,Electronics,Credit Card,99.99,0.00,2023-02-28,TXN12348,,
1005,Mike Brown,mike.brown@example.com,456 Oak Rd.,success,true,Jeans,Apparel,PayPal,59.99,20.00,2023-04-10,TXN12349,3-4 days,TXNR12346
1006,Lisa White,lisa.white@example.com,789 Maple St.,success,true,Tablet,Electronics,Debit Card,199.99,5.00,2023-06-01,TXN12350,,
1007,Mark Green,mark.green@example.com,123 Birch St.,success,true,Camera,Electronics,Credit Card,399.99,15.00,2023-07-20,TXN12351,,
1008,Nina Brown,nina.brown@example.com,456 Cedar St.,failed,false,Watch,Accessories,Bank Transfer,149.99,0.00,2023-08-05,TXN12352,,
1009,Omar Black,omar.black@example.com,789 Pine St.,success,true,Shoes,Footwear,PayPal,89.99,10.00,2023-09-10,TXN12353,4-5 days,TXNR12347
1010,Pat Yellow,pat.yellow@example.com,321 Willow St.,success,true,Smartwatch,Electronics,Credit Card,249.99,20.00,2023-10-01,TXN12354,,
1011,Quinn Blue,quinn.blue@example.com,456 Elm St.,failed,false,Sunglasses,Accessories,Debit Card,59.99,0.00,2023-11-11,TXN12355,,
1012,Rita Red,rita.red@example.com,789 Oak St.,success,true,Backpack,Accessories,Bank Transfer,79.99,5.00,2023-12-25,TXN12356,,
1013,Sam Orange,sam.orange@example.com,123 Maple St.,success,true,Keyboard,Electronics,PayPal,49.99,10.00,2023-01-15,TXN12357,6-7 days,TXNR12348
1014,Tina Pink,tina.pink@example.com,456 Birch St.,success,true,Mouse,Electronics,Credit Card,29.99,2.00,2023-02-10,TXN12358,,
1015,Uma Purple,uma.purple@example.com,789 Cedar St.,success,true,Monitor,Electronics,Debit Card,199.99,5.00,2023-03-05,TXN12359,,
